Date,Profit/Loss
2020-01-02,
2020-01-03,
2020-01-06,789.0791685947188
2020-01-07,-469.40856488994905
2020-01-08,1598.1017627685214
2020-01-09,2144.1642710128217
2020-01-10,233.0501820557256
2020-01-13,2207.428376406242
2020-01-14,-1424.9760783583042
2020-01-15,-446.1674075221672
2020-01-16,1298.4688055510778
2020-01-17,1161.9845854594168
2020-01-21,-719.1672546749323
2020-01-22,376.25549360238074
2020-01-23,509.4001059461734
2020-01-24,-306.333110692809
2020-01-27,-3116.356540291992
2020-01-28,2909.939468300945
2020-01-29,2214.076184932608
2020-01-30,-156.4799906197877
2020-01-31,-4781.093423171216
2020-02-03,-282.99773241681396
2020-02-04,3392.727402162054
2020-02-05,865.6388910408568
2020-02-06,1251.8713319277012
2020-02-07,-1471.7724627879797
2020-02-10,507.26443202591327
2020-02-11,-647.4127985494124
2020-02-12,2533.03489733061
2020-02-13,-777.5946867782914
2020-02-14,26.69592400350666
2020-02-18,-1985.7370482892584
2020-02-19,1541.8623495344364
2020-02-20,-1107.9855360436777
2020-02-21,-2419.5719858208176
2020-02-24,-4962.657113364505
2020-02-25,-3370.742523570938
2020-02-26,1525.164310794993
2020-02-27,-6384.314521954511
2020-02-28,-53.41278598662757
2020-03-02,8493.554242976868
2020-03-03,-3167.1311408476904
2020-03-04,4478.707121635001
2020-03-05,-3277.2439756198146
2020-03-06,-1298.2698947447643
2020-03-09,-7629.1402237432485
2020-03-10,6397.672952946072
2020-03-11,-3307.3109143406327
2020-03-12,-9077.598246234833
2020-03-13,9925.29328874941
2020-03-16,-11934.39188778917
2020-03-17,3554.2900873323088
2020-03-18,-2065.8143513099785
2020-03-19,-630.7671047589974
2020-03-20,-5186.227625151543
2020-03-23,-1625.3001982826536
2020-03-24,7512.369111454944
2020-03-25,-453.87781851377804
2020-03-26,4311.873300097781
2020-03-27,-3570.9881260717666
2020-03-30,2359.5113913078094
2020-03-31,-173.53397501261497
2020-04-01,-4465.374863117962
2020-04-02,1341.6115125387005
2020-04-03,-1174.7410495371732
2020-04-06,7028.450526694884
2020-04-07,-1014.5445675365045
2020-04-08,2215.992010066984
2020-04-09,640.7754590128607
2020-04-13,1755.450679542133
2020-04-14,4605.528464136383
2020-04-15,-874.3909665180836
2020-04-16,754.2488395124819
2020-04-17,-1298.217549795736
2020-04-20,-1959.0515932755661
2020-04-21,-2856.7465311002306
2020-04-22,2579.757998831672
2020-04-23,-357.07630427909316
2020-04-24,2649.8478855781286
2020-04-27,66.75027899857378
2020-04-28,-1531.8539952805731
2020-04-29,3053.6786983276834
2020-04-30,2025.7599963149114
2020-05-01,-1578.5561588020064
2020-05-04,1364.9782977841387
2020-05-05,1468.432855040097
2020-05-06,1024.57909426486
2020-05-07,1037.906118287021
2020-05-08,2412.7462044677522
2020-05-11,1633.0158437691716
2020-05-12,-1204.6666568955989
2020-05-13,-1258.2469467191258
2020-05-14,632.4735500972602
2020-05-15,-612.4149656303198
2020-05-18,2426.1360424287413
2020-05-19,-609.0439509130083
2020-05-20,2037.966838427892
2020-05-21,-796.4493374176236
2020-05-22,682.6723562136467
2020-05-26,-722.8209321169707
2020-05-27,461.7871403116733
2020-05-28,46.848729378703865
2020-05-29,-103.7162820010708
2020-06-01,1308.403876876313
2020-06-02,498.6170464467432
2020-06-03,595.664581941819
2020-06-04,-936.9850565639645
2020-06-05,3071.978492507362
2020-06-08,655.8822113018978
2020-06-09,3523.767747554957
2020-06-10,2961.5201810716535
2020-06-11,-5668.780006742018
2020-06-12,970.464885961308
2020-06-15,1402.1432115929492
2020-06-16,3041.848739847701
2020-06-17,-163.97578732036345
2020-06-18,46.85919836850371
2020-06-19,-672.6116570107843
2020-06-22,3061.93873128407
2020-06-23,2563.332153827141
2020-06-24,-2165.1336575928435
2020-06-25,1599.5778903310566
2020-06-26,-3751.279834003697
2020-06-29,2727.2765341781196
2020-06-30,1010.6239308544318
2020-07-01,-230.8935701558512
2020-07-02,0.0
2020-07-06,3259.3734100221627
2020-07-07,-388.1901419804344
2020-07-08,2904.6630974390864
2020-07-09,548.8263215529296
2020-07-10,224.19341668045672
2020-07-13,-592.2830982347223
2020-07-14,2114.892975517214
2020-07-15,893.4654659433436
2020-07-16,-1609.57577559512
2020-07-17,-261.0233228154684
2020-07-20,2717.2367729548278
2020-07-21,-1817.0711535361042
2020-07-22,364.7396048165683
2020-07-23,-5926.411376860604
2020-07-24,-307.89299017381563
2020-07-27,2938.1219888568157
2020-07-28,-2084.7736918473965
2020-07-29,2392.6562130313832
2020-07-30,1539.3288540015637
2020-07-31,13479.232664923242
2020-08-03,3583.9853769150213
2020-08-04,973.794024719391
2020-08-05,532.0759378644289
2020-08-06,5140.033207635686
2020-08-07,-3466.3872144321213
2020-08-10,2165.667576072912
2020-08-11,-4495.604071180744
2020-08-12,4874.43493627524
2020-08-13,2681.903932361951
2020-08-14,-137.44736715374165
2020-08-17,-402.30234023800585
2020-08-18,1280.650584902498
2020-08-19,194.41960967416526
2020-08-20,3442.9366772682406
2020-08-21,8173.213623924588
2020-08-24,1994.6670965931553
2020-08-25,-1384.53437074041
2020-08-26,2276.3038603352907
2020-08-27,-2028.2516158885846
2020-08-28,-271.5132506004011
2020-08-31,5675.637195064512
2020-09-01,6892.542101042491
2020-09-02,-3727.860703809216
2020-09-03,-14106.984700618312
2020-09-04,107.29667651449563
2020-09-08,-10915.481751503889
2020-09-09,6034.346661753225
2020-09-10,-5135.908425652364
2020-09-11,-1998.0485803002957
2020-09-14,4505.675239373464
2020-09-15,241.37302895094035
