Country,Year,Calories,Fat,Protein,Fruit,Sugar,Veg,Obesity
Costa Rica,2011,2847.0,90.0,74.3,104.8,55.5,41.8,60.57
Costa Rica,2012,2843.0,87.5,74.3,123.3,55.5,40.6,61.34
Costa Rica,2013,2847.0,90.3,73.8,100.9,54.1,43.2,62.09
Costa Rica,2014,2890.0,91.4,76.7,104.6,53.8,46.6,62.81
Costa Rica,2015,2896.0,94.3,75.9,123.5,53.3,56.5,63.51
Costa Rica,2016,2978.0,97.4,79.4,135.9,56.4,49.5,64.19
Costa Rica,2017,3010.0,106.1,80.4,122.9,52.1,55.6,64.84
Costa Rica,2018,3005.0,103.5,81.7,122.8,52.5,57.7,65.47
Costa Rica,2019,3025.0,103.9,85.0,87.3,49.8,36.0,66.08
Costa Rica,2020,3032.0,105.6,84.6,80.8,50.5,32.9,66.69
Latvia,2010,3136.0,120.0,96.3,36.2,49.1,101.4,58.75
Latvia,2011,3148.0,119.9,96.5,39.3,53.8,106.2,59.48
Latvia,2012,3108.0,118.0,92.1,37.3,57.0,104.4,60.22
Latvia,2013,3175.0,119.5,91.5,37.5,59.6,108.4,60.97
Latvia,2014,3208.0,122.5,98.7,44.8,57.2,126.4,61.73
Latvia,2015,3174.0,125.0,94.9,39.4,52.3,132.6,62.49
Latvia,2016,3226.0,124.0,103.3,41.8,48.7,133.0,63.27
Latvia,2017,3216.0,127.5,102.4,48.5,49.2,117.9,64.03
Latvia,2018,3229.0,128.1,96.1,45.9,58.1,114.5,64.76
Latvia,2019,3235.0,135.3,97.6,51.8,54.8,89.0,65.43
Latvia,2020,3228.0,141.6,96.7,52.0,62.5,101.3,66.06
Lithuania,2010,3290.0,97.9,114.4,28.4,85.1,89.6,61.15
Lithuania,2011,3362.0,98.5,113.4,28.0,89.9,104.8,61.62
Lithuania,2012,3330.0,92.0,115.5,39.9,89.1,107.5,62.08
Lithuania,2013,3364.0,92.4,116.8,33.3,90.2,103.4,62.54
Lithuania,2014,3387.0,95.0,120.4,41.2,92.1,99.4,63.04
Lithuania,2015,3382.0,97.3,122.2,37.2,91.0,79.9,63.56
Lithuania,2016,3398.0,97.7,125.2,53.1,92.3,103.2,64.1
Lithuania,2017,3426.0,101.7,126.9,46.3,92.6,95.4,64.65
Lithuania,2018,3412.0,104.9,124.7,53.0,94.6,104.7,65.2
Lithuania,2019,3450.0,121.9,123.4,42.7,95.1,96.7,65.72
Lithuania,2020,3478.0,125.5,127.2,48.5,97.3,88.5,66.22
Argentina,2010,3162.0,103.9,100.7,70.1,47.2,67.7,59.08
Argentina,2011,3148.0,105.8,99.7,86.8,47.2,65.9,59.9
Argentina,2012,3176.0,114.1,100.4,83.5,46.5,67.8,60.74
Argentina,2013,3211.0,111.6,103.8,75.7,46.6,66.6,61.58
Argentina,2014,3245.0,118.5,101.8,85.7,46.6,68.5,62.44
Argentina,2015,3307.0,120.4,106.9,87.9,46.3,69.2,63.3
Argentina,2016,3247.0,118.9,104.0,75.2,46.5,69.4,64.17
Argentina,2017,3269.0,118.4,105.7,77.3,47.1,71.1,65.04
Argentina,2018,3307.0,121.0,108.5,79.6,45.4,69.7,65.92
Argentina,2019,3312.0,123.9,113.0,81.2,46.5,70.7,66.8
Argentina,2020,3338.0,123.4,114.2,74.1,47.0,71.5,67.66
Romania,2010,3325.0,103.9,104.7,67.0,25.5,176.0,57.39
Romania,2011,3336.0,102.8,104.0,69.9,25.0,184.6,58.69
Romania,2012,3339.0,103.1,103.2,68.3,25.9,162.3,59.95
Romania,2013,3357.0,103.0,102.8,73.3,26.2,178.4,61.2
Romania,2014,3417.0,116.6,104.7,82.3,27.0,192.5,62.44
Romania,2015,3476.0,119.8,108.2,84.0,27.9,190.8,63.69
Romania,2016,3525.0,122.1,109.0,88.6,29.2,180.3,64.93
Romania,2017,3549.0,123.3,109.1,91.7,29.7,193.8,66.17
Romania,2018,3586.0,123.0,109.3,107.6,29.0,207.2,67.39
Romania,2019,3628.0,125.7,106.2,113.2,31.0,142.1,68.55
Romania,2020,3638.0,129.7,106.2,117.7,29.4,141.6,69.64
Bulgaria,2010,2772.0,94.7,80.4,38.3,35.8,72.7,54.29
Bulgaria,2011,2777.0,91.0,80.7,49.7,36.0,68.2,54.74
Bulgaria,2012,2775.0,89.4,81.4,44.6,29.4,60.0,55.18
Bulgaria,2013,2827.0,89.7,82.1,61.5,39.2,67.7,55.63
Bulgaria,2014,2865.0,88.2,85.5,41.4,34.1,67.8,56.07
Bulgaria,2015,2753.0,92.6,81.7,49.7,34.0,76.8,56.5
Bulgaria,2016,2818.0,92.6,85.1,49.4,34.5,93.1,56.92
Bulgaria,2017,2826.0,93.4,85.5,53.7,34.5,90.8,57.31
Bulgaria,2018,2872.0,106.3,83.6,58.6,34.6,96.6,57.69
Bulgaria,2019,2853.0,115.3,81.1,60.3,37.4,99.1,58.06
Bulgaria,2020,2894.0,125.8,78.8,59.4,37.7,87.0,58.37
Peru,2010,2606.0,51.2,76.5,127.2,21.7,67.8,53.13
Peru,2011,2616.0,53.1,77.7,121.0,21.7,68.4,54.43
Peru,2012,2681.0,54.9,81.3,125.4,22.0,72.4,55.73
Peru,2013,2713.0,56.2,82.0,134.7,22.2,70.6,57.02
Peru,2014,2748.0,57.1,84.7,131.0,21.9,70.7,58.3
Peru,2015,2772.0,57.2,86.2,130.6,22.6,69.9,59.55
Peru,2016,2756.0,58.6,86.3,133.9,22.7,66.4,60.79
Peru,2017,2765.0,58.9,87.1,123.0,22.8,67.2,62.02
Peru,2018,2795.0,60.1,89.8,123.3,22.7,67.3,63.22
Peru,2019,2833.0,65.0,92.2,129.3,22.1,62.9,64.41
Peru,2020,2844.0,64.6,91.7,129.9,21.7,57.8,65.6
Croatia,2010,2971.0,104.4,80.7,98.6,53.8,69.2,62.28
Croatia,2011,2998.0,105.3,81.7,100.2,52.2,71.9,62.99
Croatia,2012,2995.0,114.0,83.6,87.0,46.9,60.1,63.69
Croatia,2013,3059.0,118.5,84.4,98.4,43.2,70.4,64.39
Croatia,2014,2977.0,108.2,84.8,76.9,56.9,62.8,65.09
Croatia,2015,3047.0,111.8,87.8,85.5,52.2,76.9,65.78
Croatia,2016,3128.0,115.2,89.8,68.5,53.9,263.2,66.46
Croatia,2017,3063.0,114.3,90.7,67.5,61.4,255.6,67.13
Croatia,2018,3097.0,115.7,92.1,81.0,59.7,301.9,67.8
Croatia,2019,3137.0,121.7,94.5,68.7,86.1,287.4,68.46
Croatia,2020,3161.0,120.0,94.5,76.1,79.7,349.9,69.11
