Country,Year,Calories,Fat,Protein,Fruit,Sugar,Veg,Obesity
France,2020,3538.0,152.4,119.9,83.8,36.2,94.8,39.72
Germany,2010,3504.0,144.1,101.8,61.0,49.9,80.6,61.11
Germany,2011,3538.0,145.6,103.1,64.4,48.8,85.5,61.11
Germany,2012,3501.0,144.3,101.8,64.8,47.4,87.8,61.09
Germany,2013,3499.0,141.8,101.6,65.7,48.3,83.6,61.05
Germany,2014,3541.0,142.2,104.1,70.5,49.0,90.0,61.01
Germany,2015,3567.0,143.7,105.1,75.8,49.3,88.4,60.96
Germany,2016,3557.0,145.1,104.7,76.5,47.5,91.8,60.9
Germany,2017,3542.0,146.2,104.1,70.7,46.5,94.7,60.84
Germany,2018,3556.0,151.3,105.5,78.1,44.2,89.8,60.77
Germany,2019,3592.0,164.5,105.0,77.3,43.7,88.3,60.7
Germany,2020,3628.0,164.8,105.9,78.6,45.8,91.4,60.63
Greece,2010,3442.0,152.8,111.8,117.0,35.9,219.7,64.63
Greece,2011,3425.0,154.3,108.8,124.7,31.7,237.7,65.11
Greece,2012,3401.0,149.1,107.5,119.6,34.9,227.7,65.54
Greece,2013,3397.0,147.0,108.0,126.0,33.2,224.3,65.93
Greece,2014,3439.0,152.2,109.1,109.9,29.3,161.5,66.32
Greece,2015,3396.0,148.2,106.2,114.2,29.2,169.0,66.69
Greece,2016,3336.0,147.5,105.1,95.8,29.2,163.3,67.05
Greece,2017,3373.0,149.0,106.0,113.0,33.6,154.9,67.4
Greece,2018,3367.0,153.5,109.7,123.3,32.8,156.6,67.74
Greece,2019,3382.0,161.7,106.3,139.1,33.8,147.5,68.06
Greece,2020,3337.0,155.7,102.6,143.2,38.3,157.6,68.37
Hungary,2010,3062.0,136.7,81.5,61.4,34.4,68.5,61.33
Hungary,2011,3064.0,136.0,81.9,47.9,35.6,91.9,62.08
Hungary,2012,3009.0,132.7,80.7,62.3,35.4,80.2,62.81
Hungary,2013,3037.0,137.6,78.8,48.0,34.8,78.2,63.37
Hungary,2014,3110.0,138.1,83.1,69.0,40.5,90.7,63.96
Hungary,2015,3222.0,147.8,85.1,62.2,41.6,93.8,64.57
Hungary,2016,3251.0,149.6,87.1,59.7,40.9,91.1,65.19
Hungary,2017,3290.0,152.0,88.5,59.6,40.6,87.5,65.79
Hungary,2018,3350.0,157.6,89.9,63.4,40.2,91.9,66.36
Hungary,2019,3388.0,148.8,90.7,74.2,52.1,89.7,66.94
Hungary,2020,3352.0,151.3,87.4,68.3,55.3,86.9,67.53
Iceland,2010,3382.0,145.2,128.5,76.9,90.1,60.9,56.61
Iceland,2011,3366.0,147.2,129.6,78.5,84.9,61.9,56.92
